ioc_type,value,vt_malicious,vt_suspicious,vt_total_engines,risk_level,malware_family,country,tags
domain,0mx1lntastantretatlanpassword.com,8,0,94,high,,,dga
domain,0mxus3rauthkeepsame.com,10,0,94,critical,,,dga
domain,10311landex.com,8,0,94,high,,,dga
domain,206pms.com,8,0,94,high,,,dga
domain,286755.codesandbox.io,1,0,94,medium,,,
domain,2nbskull.com,8,0,94,high,,,dga
domain,333-77-6578-929-000.info,3,0,94,medium,,,
domain,34533teams.xyz,8,1,94,high,,,dga
domain,34ovuk.codesandbox.io,4,0,94,medium,,,
domain,365jhsgbxsncnsuye67.live,8,0,94,high,,,dga
domain,365maineventco.com,5,0,94,high,,,
domain,365voicemessage.com,9,0,94,high,,,
domain,3dfzlrtsiwfibvfyql96zt.live,7,0,94,high,,,dga
domain,3fytwq.codesandbox.io,4,0,94,medium,,,
domain,5d4ba5ca-d814-4049-8ea3-af505f6e1e01.info,4,0,94,medium,,,dga|hex
domain,62zy6b.codesandbox.io,0,0,94,clean,,,
domain,660o5v.codesandbox.io,0,0,94,clean,,,
domain,77du0t.codesandbox.io,0,0,94,clean,,,
domain,7dmjmg20p8mty1nzexnjgzoc40ljeumty1nzexnzqxny4yng.co,7,0,94,high,,,dga
domain,7dmjmg20p8mty1ody5mjm4ms4xms4x.live,10,0,94,critical,,,dga
domain,7o7ttl.codesandbox.io,3,0,94,medium,,,
domain,8nk0ds.codesandbox.io,0,0,94,clean,,,
domain,9xybgc.codesandbox.io,0,0,94,clean,,,
domain,aaaaclub.net,10,0,94,critical,,,
domain,aaaaoffice635u.com,10,0,94,critical,,,
domain,abg-serviices.com,10,0,94,critical,,,
domain,accionabdjv.ca,4,0,94,medium,,,
domain,accvcam.com,9,0,94,high,,,
domain,acehomproducts.com,6,0,94,high,,,
domain,acqureioil.com,3,0,94,medium,,,
domain,acuciondi.com,9,0,94,high,,,
domain,adlokali.com,3,0,94,medium,,,
domain,adobe-06195.com,5,0,94,high,,,dga
domain,adobe-20648.com,9,0,94,high,,,
domain,adobe-54836.com,5,0,94,high,,,dga
domain,adobe-69451.com,2,0,94,medium,,,
domain,adobe-91506.com,3,0,94,medium,,,
domain,agre-ae.com,3,0,94,medium,,,
domain,agronne.com,6,0,94,high,,,
domain,aibels.com,7,0,94,high,,,
domain,ainorsigns.co,9,0,94,high,,,
domain,ainswat.com,3,0,94,medium,,,
domain,alamarcosmetics.xyz,9,1,94,high,,,
domain,alamoudiexchang-online.com,3,0,94,medium,,,
domain,alamoudiexchange-online.com,4,0,94,medium,,,
domain,alexmakanaki.com,4,0,94,medium,,,
domain,almflrm.com,7,0,94,high,,,dga
domain,alnapeckagingco.com,7,0,94,high,,,
domain,altoma-report.com,5,0,94,high,,,
domain,am-jlll.com,8,0,94,high,,,dga
domain,amat-us.com,8,0,94,high,,,
domain,ambleasia.co,9,0,94,high,,,
domain,aminocx.xyz,10,1,94,critical,,,
domain,appsinfo.xyz,6,0,94,high,,,
domain,aqriko.com,6,0,94,high,,,dga
domain,araedt.com,5,0,94,high,,,
domain,aritcac.com,9,0,94,high,,,
domain,ascisoft.com,5,0,94,high,,,
domain,asdfghgfdsa.com,5,0,94,high,,,dga
domain,asianwaterjet.com,3,0,94,medium,,,
domain,asn4.xyz,10,1,94,critical,,,
domain,assetprovidingsupport.xyz,8,1,94,high,,,
domain,assoulne.com,7,0,94,high,,,
domain,atg1.xyz,8,1,94,high,,,
domain,atg2.xyz,8,1,94,high,,,
domain,audlgreenville.com,4,0,94,medium,,,dga
domain,aufdreworld.com,3,0,94,medium,,,
domain,auhrticezemkrt.com,6,0,94,high,,,dga
domain,auth17.com,7,0,94,high,,,
domain,autsolut.net,5,0,94,high,,,
domain,avantscapital.com,7,0,94,high,,,
domain,avis-corporation.com,6,0,94,high,,,
domain,baincoorp.com,4,0,94,medium,,,
domain,bannesco.com,5,0,94,high,,,
domain,basinposal.com,7,0,94,high,,,
domain,bbld.xyz,10,0,94,critical,,,
domain,bckoffice.com,11,0,94,critical,,,self-signed
domain,bdudhurujrhrsvdgdg.com,9,0,94,high,,,
domain,behringermails.com,5,0,94,high,,,
domain,benchrnark.com,8,0,94,high,,,dga
domain,berightpw.com,9,0,94,high,,,
domain,bevcapmanagements.com,4,0,94,medium,,,
domain,biibbeo.com,4,0,94,medium,,,
domain,biofrontera-online.com,6,0,94,high,,,
domain,blackmorcpa.co,8,0,94,high,,,
domain,blockhoury.com,6,0,94,high,,,
domain,bluestoneqrp.com,3,0,94,medium,,,
domain,bluewaterlogisticsgroups.com,9,0,94,high,,,
domain,boghdetgtahstak.com,3,0,94,medium,,,dga
domain,bollinger-news.com,9,0,94,high,,,
domain,braagenh.com,4,0,94,medium,,,
domain,brabinfo.xyz,9,1,94,high,,,
domain,bragmutual.org,9,0,94,high,,,
domain,breadlaof.com,3,0,94,medium,,,
domain,brendghsgsddczx.com,4,0,94,medium,,,dga
domain,brentags.com,10,0,94,critical,,,
domain,btfufu.com,8,0,94,high,,,
domain,businessresourceshq.com,4,0,94,medium,,,
domain,buyhhcwholesale.com,5,0,94,high,,,dga
domain,c0poft.codesandbox.io,3,0,94,medium,,,
domain,c4xnjf.com,3,0,94,medium,,,dga
domain,caassoclates.com,4,0,94,medium,,,
domain,calling-phone.xyz,7,1,94,high,,,
domain,calspass.com,6,0,94,high,,,
domain,capitaln.org,10,0,94,critical,,,
domain,casgravels.com,5,0,94,high,,,
domain,cds-ddd.com,3,0,94,medium,,,
domain,celticvc.org,10,0,94,critical,,,
domain,centament.com,10,0,94,critical,,,
domain,chanpionpromotion.com,3,0,94,medium,,,
domain,chemtge.com,2,0,94,medium,,,
domain,chismstrategiies.com,8,0,94,high,,,
domain,ci-resuorces.com,3,0,94,medium,,,
domain,cidkslhtrifmentinimtimesoffdots.xyz,8,1,94,high,,,dga
domain,cityfederalcv.com,7,0,94,high,,,
domain,cityofchlcago.org,9,1,94,high,,,dga
domain,clearloginmailbox.com,6,0,94,high,,,
domain,clemenhagen.com,7,0,94,high,,,
domain,cloud-distributions.com,1,0,94,medium,,,
domain,clxbcj.codesandbox.io,3,0,94,medium,,,
domain,cnptrd.com,5,0,94,high,,,dga
domain,coastllnecapital.com,7,0,94,high,,,
domain,colonyretirement.org,9,0,94,high,,,
domain,comlivess.com,6,0,94,high,,,
domain,commtraclfloors.com,6,0,94,high,,,dga
domain,comoholdingusa.com,8,0,94,high,,,
domain,comoutlooks.com,9,0,94,high,,,
domain,congregationanshaitorah.com,3,0,94,medium,,,
domain,corned.co,6,1,94,high,,,
domain,costaenergyllc-report.com,2,0,94,medium,,,
domain,cpipaneiis.com,4,0,94,medium,,,dga
domain,craateoronlineecergynewnote.xyz,6,1,94,high,,,
domain,craigsintl.com,9,0,94,high,,,
domain,crossvalleyfcv.org,6,0,94,high,,,
domain,crswell.com,5,0,94,high,,,
domain,cscsteelsusa.com,8,0,94,high,,,
domain,cullensolicitors.com,4,0,94,medium,,,
domain,damerche.com,11,0,94,critical,,,
domain,dastoffidhtrifmentinimtimesoffdots.xyz,7,1,94,high,,,dga
domain,davisellen.com,10,0,94,critical,,,
domain,dbfjkndkhvsjfdyjdbdih.com,4,0,94,medium,,,dga
domain,dechanghitach.com,3,0,94,medium,,,
domain,dedrone-online.com,9,0,94,high,,,
domain,deseuwhioaks.xyz,9,1,94,high,,,dga
domain,dextermags.com,9,0,94,high,,,
domain,dfrfeedback7w.com,1,0,94,medium,,,
domain,difioreconstructions.net,4,0,94,medium,,,
domain,dirtymoneydenger.xyz,8,1,94,high,,,
domain,discoverlewis.co,9,0,94,high,,,
domain,disgros.com,2,0,94,medium,,,
domain,djtransportatlon.com,4,0,94,medium,,,
domain,dkdnspmeitlo.com,4,0,94,medium,,,dga
domain,dkfkofbnfiufbihfiuf.com,9,0,94,high,,,dga
domain,dlago.co,8,0,94,high,,,
domain,dlfcgzgpgwrdfjtkszrbzpzpwpndkd.com,10,0,94,critical,,,
domain,dnsnamess.com,3,0,94,medium,,,
domain,documentsharepoint.com,7,0,94,high,,,
domain,douglassedist.com,10,0,94,critical,,,
domain,downs-energys.com,9,0,94,high,,,
domain,dphinc.org,11,0,94,critical,,,
domain,drdrgroup.org,6,0,94,high,,,dga
domain,drussellccigroup.com,7,0,94,high,,,
domain,dse01.com,9,0,94,high,,,
domain,dsjusfd-lth.com,4,0,94,medium,,,dga
domain,durascrete.com,1,0,94,medium,,,
domain,dustaslde.com,6,0,94,high,,,
domain,dyndjdbhdjakshd.com,4,0,94,medium,,,dga
domain,dynnata.com,7,0,94,high,,,
domain,ebclh.org,8,0,94,high,,,
domain,efcotac.com,6,1,94,high,,,
domain,efscystems.com,10,0,94,critical,,,
domain,ehdd.net,0,0,94,clean,,,
domain,eiiisdone.com,12,0,94,critical,,,
domain,ejidoater.com,4,0,94,medium,,,
domain,ekwg9l.codesandbox.io,0,0,94,clean,,,
domain,elecorporattion.com,5,0,94,high,,,
domain,electronictransmission.net,8,0,94,high,,,
domain,elistsair.com,7,0,94,high,,,
domain,email-verification-access-password-notificafions.com,10,0,94,critical,,,
domain,emailaccess-expirynotification.com,7,0,94,high,,,
domain,emailaccess-passwordnotice.com,8,0,94,high,,,
domain,emediartslab.com,3,0,94,medium,,,
domain,encorebrard.com,7,0,94,high,,,
domain,encores-bz.com,4,0,94,medium,,,
domain,endoselec.com,4,0,94,medium,,,
domain,envizai.com,7,0,94,high,,,
domain,epovr9.codesandbox.io,0,0,94,clean,,,
domain,er849r.codesandbox.io,7,0,94,high,,,
domain,eriecommunltyfcu.org,8,0,94,high,,,dga
domain,etacenter.com,10,0,94,critical,,,
domain,etiselat.com,5,0,94,high,,,
domain,etxfabs.com,3,0,94,medium,,,dga
domain,eu-biuestarinc.com,4,0,94,medium,,,
domain,excelavgroups.com,3,0,94,medium,,,
domain,excelville.com,6,0,94,high,,,
domain,expirationrequest-passwordreminder.com,12,0,94,critical,,,
domain,expiryrequest-mailaccess.com,6,0,94,high,,,dga
domain,exyta.net,8,0,94,high,,,
domain,fabirtek.com,6,0,94,high,,,
domain,fabrinet-globals.com,4,0,94,medium,,,
domain,fabrinets.com,12,0,94,critical,,,
domain,fahdsuk.com,6,0,94,high,,,dga
domain,faircapitallc.com,6,0,94,high,,,
domain,fcmilndia.com,1,0,94,medium,,,
domain,fgtsolutions.co,10,0,94,critical,,,
domain,filkjooor.com,6,0,94,high,,,dga
domain,finalmanstandlap.com,5,1,94,high,,,
domain,fiorettl.com,3,0,94,medium,,,
domain,fiplodjfjfjnxjisski.com,7,0,94,high,,,dga
domain,firstablenefcu.org,9,0,94,high,,,
domain,flowerandmore.biz,7,0,94,high,,,
