ioc_type,value,vt_malicious,vt_suspicious,vt_total_engines,risk_level,malware_family,country,tags
ipv4,103.75.190.12,0,0,0,unknown,,,
ipv4,185.220.101.47,0,0,0,unknown,,,
ipv4,45.33.32.156,0,0,0,unknown,,,
ipv4,91.108.4.241,0,0,0,unknown,,,
domain,cdn-delivery-node.top,0,0,0,unknown,,,
domain,example-cert.in,0,0,0,unknown,,,
domain,login-sbi-secure.in,0,0,0,unknown,,,
domain,malware-dropper.ru,0,0,0,unknown,,,
domain,microsofft-auth.ru,0,0,0,unknown,,,
domain,phishing-hdfc-bank.live,0,0,0,unknown,,,
domain,protonmail.com,0,0,0,unknown,,,
domain,secure-hdfc-alert.com,0,0,0,unknown,,,
domain,secure-login-portal.xyz,0,0,0,unknown,,,
domain,shadow7abc3xyzqr.onion,0,0,0,unknown,,,
domain,targetbank.in,0,0,0,unknown,,,
domain,update-service-cdn.com,0,0,0,unknown,,,
url,http://malware-dropper.ru/payload.exe,0,0,0,unknown,,,
url,https://phishing-hdfc-bank.live/login,0,0,0,unknown,,,
md5,d41d8cd98f00b204e9800998ecf8427e,0,0,0,unknown,,,
sha1,da39a3ee5e6b4b0d3255bfef95601890afd80709,0,0,0,unknown,,,
sha256,47d0d13c5d85f2b0ff8318d2877eec2f63b931bd47417a81a538327af927da3e,0,0,0,unknown,,,
sha256,aec070645fe53ee3b3763059376134f058cc337247c978add178b6ccdfb0019f,0,0,0,unknown,,,
sha256,cf83e1357eefb8bdf1542850d66d8007d620e4050b5715dc83f4a921d36ce9ce,0,0,0,unknown,,,
sha256,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,0,0,unknown,,,
email,attacker-collect@protonmail.com,,,,,,,
email,cert@example-cert.in,,,,,,,
email,noreply@secure-hdfc-alert.com,,,,,,,
email,victim@targetbank.in,,,,,,,
cve,CVE-2023-44487,,,,,,,
cve,CVE-2024-21762,,,,,,,
cve,CVE-2024-3400,,,,,,,
bitcoin_wallet,1A1zP1eP5QGefi2DMPTfTL5SLmv7Divfna,,,,,,,
registry_key,HKEY_CURRENT_USER\Software\Microsoft\Windows\CurrentVersion\Run\UpdateService,,,,,,,
registry_key,HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows,,,,,,,
registry_key,HKLM\SYSTEM\CurrentControlSet\Services\ShadowSvc,,,,,,,
file_path_windows,C:\ProgramData\Microsoft\sysmon.exe,,,,,,,
file_path_windows,C:\Users\Public\Documents\updater.dll,,,,,,,
file_path_windows,C:\Windows\Temp\svchost32.exe,,,,,,,
file_path_linux,/etc/cron.d/system-update,,,,,,,
file_path_linux,/tmp/.hidden_payload,,,,,,,
file_path_linux,/var/tmp/backdoor.sh,,,,,,,
mitre_attack,T1053.005,,,,,,,
mitre_attack,T1059.001,,,,,,,
mitre_attack,T1071.001,,,,,,,
mitre_attack,T1486,,,,,,,
mitre_attack,T1566.001,,,,,,,
asn,AS64496,,,,,,,
